dataset,version,function,rep,time
N/A,pybids-legacy,load_layouts_no_md,0,1044.61
N/A,pybids-legacy,load_layouts,0,5916.75
ds002837,pybids-legacy,print_repr,0,1364.05
ds002837,pybids-legacy,print_repr,1,24.61
ds002837,pybids-legacy,print_repr,2,21.2
ds002837,pybids-legacy,print_repr,3,19.73
ds002837,pybids-legacy,print_repr,4,19.43
ds002837,pybids-legacy,get_return_type_dict,0,20.16
ds002837,pybids-legacy,get_return_type_dict,1,22.23
ds002837,pybids-legacy,get_return_type_dict,2,24.61
ds002837,pybids-legacy,get_return_type_dict,3,19.96
ds002837,pybids-legacy,get_return_type_dict,4,19.76
ds002837,pybids-legacy,all_subjects,0,436.05
ds002837,pybids-legacy,all_subjects,1,22.24
ds002837,pybids-legacy,all_subjects,2,23.38
ds002837,pybids-legacy,all_subjects,3,25.32
ds002837,pybids-legacy,all_subjects,4,22.2
ds002837,pybids-legacy,all_tasks,0,19.53
ds002837,pybids-legacy,all_tasks,1,19.57
ds002837,pybids-legacy,all_tasks,2,20.02
ds002837,pybids-legacy,all_tasks,3,19.97
ds002837,pybids-legacy,all_tasks,4,25.45
ds002837,pybids-legacy,subjects_for_task,0,11.22
ds002837,pybids-legacy,subjects_for_task,1,9.11
ds002837,pybids-legacy,subjects_for_task,2,8.65
ds002837,pybids-legacy,subjects_for_task,3,8.52
ds002837,pybids-legacy,subjects_for_task,4,8.57
ds002837,pybids-legacy,get_niftis_as_files,0,6.72
ds002837,pybids-legacy,get_niftis_as_files,1,6.58
ds002837,pybids-legacy,get_niftis_as_files,2,6.39
ds002837,pybids-legacy,get_niftis_as_files,3,6.13
ds002837,pybids-legacy,get_niftis_as_files,4,6.04
ds002837,pybids-legacy,get_niftis_as_objects,0,6.0
ds002837,pybids-legacy,get_niftis_as_objects,1,5.92
ds002837,pybids-legacy,get_niftis_as_objects,2,6.0
ds002837,pybids-legacy,get_niftis_as_objects,3,5.98
ds002837,pybids-legacy,get_niftis_as_objects,4,5.97
ds002837,pybids-legacy,get_metadata,0,21.09
ds002837,pybids-legacy,get_metadata,1,20.46
ds002837,pybids-legacy,get_metadata,2,21.94
ds002837,pybids-legacy,get_metadata,3,20.63
ds002837,pybids-legacy,get_metadata,4,20.15
N/A,pybids-refactor,load_layouts_no_md,0,1750.85
N/A,pybids-refactor,load_layouts,0,1481.71
ds002837,pybids-refactor,print_repr,0,54.86
ds002837,pybids-refactor,print_repr,1,54.76
ds002837,pybids-refactor,print_repr,2,55.66
ds002837,pybids-refactor,print_repr,3,54.96
ds002837,pybids-refactor,print_repr,4,55.0
ds002837,pybids-refactor,get_return_type_dict,0,105.67
ds002837,pybids-refactor,get_return_type_dict,1,112.46
ds002837,pybids-refactor,get_return_type_dict,2,105.31
ds002837,pybids-refactor,get_return_type_dict,3,103.87
ds002837,pybids-refactor,get_return_type_dict,4,105.88
ds002837,pybids-refactor,all_subjects,0,161.81
ds002837,pybids-refactor,all_subjects,1,152.74
ds002837,pybids-refactor,all_subjects,2,153.42
ds002837,pybids-refactor,all_subjects,3,153.54
ds002837,pybids-refactor,all_subjects,4,161.15
ds002837,pybids-refactor,all_tasks,0,147.13
ds002837,pybids-refactor,all_tasks,1,148.51
ds002837,pybids-refactor,all_tasks,2,148.39
ds002837,pybids-refactor,all_tasks,3,146.22
ds002837,pybids-refactor,all_tasks,4,147.78
ds002837,pybids-refactor,subjects_for_task,0,150.36
ds002837,pybids-refactor,subjects_for_task,1,149.94
ds002837,pybids-refactor,subjects_for_task,2,163.95
ds002837,pybids-refactor,subjects_for_task,3,164.85
ds002837,pybids-refactor,subjects_for_task,4,165.75
ds002837,pybids-refactor,get_niftis_as_files,0,38.57
ds002837,pybids-refactor,get_niftis_as_files,1,37.27
ds002837,pybids-refactor,get_niftis_as_files,2,39.01
ds002837,pybids-refactor,get_niftis_as_files,3,39.3
ds002837,pybids-refactor,get_niftis_as_files,4,39.02
ds002837,pybids-refactor,get_niftis_as_objects,0,37.69
ds002837,pybids-refactor,get_niftis_as_objects,1,36.4
ds002837,pybids-refactor,get_niftis_as_objects,2,36.45
ds002837,pybids-refactor,get_niftis_as_objects,3,39.9
ds002837,pybids-refactor,get_niftis_as_objects,4,42.78
ds002837,pybids-refactor,get_metadata,0,8.01
ds002837,pybids-refactor,get_metadata,1,8.09
ds002837,pybids-refactor,get_metadata,2,8.22
ds002837,pybids-refactor,get_metadata,3,7.96
ds002837,pybids-refactor,get_metadata,4,7.87
